"exp_names","trig_events","trig_rate"
"1","0.038",860,0.00511904761904762
"2","0.045",1012,0.00602380952380952
"3","0.050",1422,0.00846428571428571
"4","0.170",8704,0.0518095238095238
"5","0.200",10972,0.0653095238095238
"6","0.220",12050,0.0717261904761905
"7","0.270",17951,0.10685119047619
"8","0.300",23610,0.140535714285714
"9","0.340",27304,0.16252380952381
"10","0.350",29842,0.177630952380952
"11","0.360",30520,0.181666666666667
"12","0.370",30584,0.182047619047619
"13","0.380",32170,0.191488095238095
"14","0.390",34784,0.207047619047619
"15","0.400",36060,0.214642857142857
"16","0.440",40400,0.24047619047619
"17","0.450",42346,0.252059523809524
"18","0.460",45074,0.268297619047619
"19","0.500",48358,0.287845238095238
"20","0.600",62615,0.372708333333333
"21","0p680",64290,0.382678571428571
"22","0.700",64634,0.38472619047619
"23","0.800",68678,0.408797619047619
"24","0.900",68144,0.405619047619048
"25","1.000",73128,0.435285714285714
