"exp_names","trig_events","trig_rate"
"1","0.012",662,0.00394047619047619
"2","0.013",718,0.00427380952380952
"3","0.015",832,0.00495238095238095
"4","0.016",988,0.00588095238095238
"5","0.017",1376,0.00819047619047619
"6","0.019",1390,0.00827380952380952
"7","0.022",1936,0.0115238095238095
"8","0.120",11804,0.0702619047619048
"9","0.125",13417,0.0798630952380952
"10","0.130",13742,0.081797619047619
"11","0p170",15556,0.0925952380952381
"12","0.210",19190,0.11422619047619
"13","0.250",20554,0.122345238095238
"14","0.260",21219,0.126303571428571
"15","0.270",22640,0.134761904761905
"16","0.300",23244,0.138357142857143
"17","0.320",26007,0.154803571428571
"18","0.340",27044,0.16097619047619
"19","0.350",29154,0.173535714285714
"20","0.360",28272,0.168285714285714
"21","0.370",28028,0.166833333333333
"22","0.380",29042,0.172869047619048
"23","0.400",30660,0.1825
"24","0.420",32655,0.194375
"25","0.500",38772,0.230785714285714
"26","0.550",39472,0.234952380952381
"27","0.600",42133,0.250791666666667
"28","0p680",47001,0.279767857142857
"29","0.700",46618,0.277488095238095
"30","0.750",49042,0.291916666666667
"31","0.900",53746,0.319916666666667
"32","1.000",55939,0.332970238095238
